yearID,franchID,name,G,SO
1913,CHW,Chicago White Sox,153,550.0
1913,CHC,Chicago Cubs,155,634.0
1913,CIN,Cincinnati Reds,156,579.0
1913,CLE,Cleveland Naps,155,557.0
1913,DET,Detroit Tigers,153,501.0
1913,SFG,New York Giants,156,501.0
1913,NYY,New York Yankees,153,617.0
1913,OAK,Philadelphia Athletics,153,547.0
1913,PHI,Philadelphia Phillies,159,578.0
1913,PIT,Pittsburgh Pirates,155,545.0
1913,BAL,St. Louis Browns,155,769.0
1913,STL,St. Louis Cardinals,153,573.0
1913,MIN,Washington Senators,155,595.0
1914,BLT,Baltimore Terrapins,160,589.0
1914,BOS,Boston Red Sox,159,549.0
1914,BTT,Brooklyn Tip-Tops,157,665.0
1914,LAD,Brooklyn Robins,154,559.0
1914,ATL,Boston Braves,158,617.0
1914,BFL,Buffalo Buffeds,155,761.0
1914,CHW,Chicago White Sox,157,609.0
1914,CHH,Chicago Chi-Feds,157,645.0
1914,CHC,Chicago Cubs,156,577.0
1914,CIN,Cincinnati Reds,157,627.0
1914,CLE,Cleveland Naps,157,685.0
1914,DET,Detroit Tigers,157,537.0
1914,NEW,Indianapolis Hoosiers,157,641.0
1914,KCP,Kansas City Packers,154,621.0
1914,SFG,New York Giants,156,479.0
1914,NYY,New York Yankees,157,711.0
1914,OAK,Philadelphia Athletics,158,517.0
1914,PHI,Philadelphia Phillies,154,570.0
1914,PIT,Pittsburgh Pirates,158,608.0
1914,PBS,Pittsburgh Rebels,154,575.0
1914,BAL,St. Louis Browns,159,863.0
1914,SLI,St. Louis Terriers,154,662.0
1914,STL,St. Louis Cardinals,157,618.0
